연번,경도,위도,Station 스테이션/성명,업무건물,주거건물,기타건물,대전지하철역,사고량,타슈이용량,총이용승객,경제인구수,교통량,하천여부,sum,순위
251,127.3292906,36.29456137,관저 더샵(109동),0.0,7.291666666666667e-05,0.0,0.0,0.0,0.011958123889791755,0.0015083574277428662,0.0599835661462613,4.181191393447687e-05,0.0,0.07356477604439705,157
167,127.4346135,36.32705794,원동네거리,0.011590909090909091,0.00047395833333333334,0.0002631578947368421,0.0,0.0,0.020887032767678292,0.0322050370963324,0.007518488085456039,0.0006243317306671009,0.0,0.0735629149991131,158
160,127.3537413,36.38540912,연구단지운동장(건너편),0.019318181818181818,0.0002604166666666667,0.0,0.0,0.0,0.03456479836728523,0.0018900863007579793,0.016540673788003286,0.00021355183909525373,0.0,0.07278770877999023,159
92,127.3947173,36.31804781,서대전농협,0.038636363636363635,0.0021822916666666666,2.631578947368421e-05,0.0,0.0,0.007950035904607128,0.007565384242994024,0.015045193097781429,0.000761573997903191,0.0,0.07216715833578977,160
175,127.3389221,36.3033914,건양대네거리,0.0038636363636363642,0.0004583333333333333,0.0,0.0,0.0,0.021158207037302996,0.007039833970831876,0.038816762530813474,0.0003807869989515955,0.0,0.07171756023486964,161
244,127.4459664,36.34013235,우송대 서문(건너편),0.023181818181818182,0.0033072916666666667,0.0,0.0,0.0,0.021515363392418458,0.0036785063709662033,0.019843878389482334,0.0,0.0,0.07152685800135183,162
154,127.4154155,36.34987449,한남오거리,0.023181818181818182,0.0015572916666666667,0.0004605263157894737,0.0,0.0,0.029597679428549833,0.0056845697757663205,0.010501232539030403,0.00010405528844451681,0.0,0.07108717319606539,163
138,127.4066224,36.31628004,센트럴파크(105동),0.023181818181818182,0.0009947916666666666,0.0,0.0,0.0,0.007698703654711063,0.007942613973185828,0.03049301561216105,0.0004903404752850206,0.0,0.07080128356382782,164
216,127.341641,36.30434664,건양대학교병원,0.011590909090909091,0.000109375,0.0,0.0,0.0,0.01949147738009751,0.012706176819192404,0.02497945768282662,0.000761573997903191,0.0,0.06963896997092882,165
159,127.3768531,36.38538863,연구단지네거리,0.011590909090909091,0.0004999999999999999,0.0,0.0,0.0,0.03161495143429457,0.003103969431743864,0.019778142974527527,0.0011621739112928475,0.0,0.0677501468427679,166
